Year,State,Drivers_Male,Drivers_Male%,Drivers_Female,Drivers_Female%,Drivers_Total,Drivers_per_Vehicles,Residents,Residents_Male16+,Residents_Female16+,Residents_16+,Drivers_per_1000Residents,Drivers_per_1000Residents16+
2018,Kansas,1070810,49.82,1078620,50.18,2149430,0.81,2911505,1129904,1154412,2284316,738,941
2018,Kentucky,1489984,49.13,1542546,50.87,3032530,0.71,4468402,1743468,1830309,3573777,679,849
2018,Louisiana,1645587,48.04,1779848,51.96,3425435,0.9,4659978,1777964,1906587,3684551,735,930
2018,Maine,514341,49.43,526241,50.57,1040582,0.94,1338404,542488,575989,1118477,777,930
2018,Maryland,2184693,49.56,2223280,50.44,4407973,1.07,6042718,2322922,2531710,4854632,729,908
2018,Massachusetts,2442439,49.4,2502227,50.6,4944666,0.98,6902149,2737188,2964328,5701516,716,867
2018,Michigan,3505792,49.01,3647853,50.99,7153645,0.86,9995915,3948056,4143140,8091196,716,884
2018,Minnesota,1701761,50.18,1689296,49.82,3391057,0.63,5611179,2202739,2249525,4452264,604,762
2018,Mississippi,974505,47.35,1083531,52.65,2058036,1,2986530,1129063,1232117,2361180,689,872
2018,Missouri,2078099,48.63,2194861,51.37,4272960,0.78,6126452,2383213,2522946,4906159,697,871
2018,Montana,409836,50.84,396368,49.16,806204,0.44,1062305,430270,428175,858445,759,939
2018,Nebraska,712326,50.15,707991,49.85,1420317,0.74,1929268,745508,758716,1504224,736,944
2018,Nevada,1013658,51.11,969795,48.89,1983453,0.8,3034392,1208558,1212994,2421552,654,819
2018,New Hampshire,587031,50.53,574634,49.47,1161665,0.87,1356458,556757,574068,1130825,856,1027
2018,New Jersey,3119373,49.18,3223503,50.82,6342876,1.06,8908520,3472212,3711830,7184042,712,883
2018,New Mexico,720611,49.41,737822,50.59,1458433,0.81,2095428,819874,849025,1668899,696,874
2018,New York,5924977,48.59,6269383,51.41,12194360,1.07,19542209,7645059,8291594,15936653,624,765
2018,North Carolina,3627569,48.31,3881662,51.69,7509231,0.93,10383620,4013702,4336187,8349889,723,899
2018,North Dakota,290194,51.7,271139,48.3,561333,0.64,760077,306848,291823,598671,739,938
2018,Ohio,3896537,48.51,4136128,51.49,8032665,0.74,11689442,4560299,4839799,9400098,687,855
2018,Oklahoma,1160904,46.36,1343349,53.64,2504253,0.68,3943079,1518004,1574054,3092058,635,810
2018,Oregon,1438753,49.09,1491949,50.91,2930702,0.76,4190713,1680548,1735101,3415649,699,858
2018,Pennsylvania,4452466,49.52,4538904,50.48,8991370,0.85,12807060,5079203,5390635,10469838,702,859
2018,Rhode Island,369905,48.87,387061,51.13,756966,0.88,1057315,422093,454881,876974,716,863
2018,South Carolina,1845703,47.99,2000366,52.01,3846069,0.9,5084127,1965101,2138664,4103765,756,937
2018,South Dakota,322365,50.49,316063,49.51,638428,0.51,882235,345500,341551,687051,724,929
2018,Tennessee,2783320,51.33,2639109,48.67,5422429,0.97,6770010,2622675,2813213,5435888,801,998
2018,Texas,8591430,49.46,8778953,50.54,17370383,0.79,28701845,10905883,11220158,22126041,605,785
2018,Utah,1022425,50.35,1008219,49.65,2030644,0.87,3161105,1165467,1164700,2330167,642,871
2018,Vermont,280981,49.74,283911,50.26,564892,0.93,626299,256814,267780,524594,902,1077
2018,Virginia,2856249,48.17,3072782,51.83,5929031,0.79,8517685,3342739,3516522,6859261,696,864
2018,Washington,3028517,51.24,2881450,48.76,5909967,0.85,7535591,3011488,3041809,6053297,784,976
2018,West Virginia,561579,49.4,575196,50.6,1136775,0.69,1805832,729459,754655,1484114,630,766
2018,Wisconsin,2149326,50.12,2138845,49.88,4288171,0.77,5813568,2315476,2370801,4686277,738,915
2018,Wyoming,214331,51.12,204925,48.88,419256,0.51,577737,232568,224826,457394,726,917
2017,Alabama,1928441,48.77,2025937,51.23,3954378,0.8,4874747,1868128,2041724,3909852,811,1011
2017,Alaska,252875,47.3,281710,52.7,534585,0.68,739795,302062,272501,574563,723,930
2017,Arizona,2589302,50.13,2575664,49.87,5164966,0.88,7016270,2751365,2819710,5571075,736,927
2017,Arkansas,1170336,48.41,1247128,51.59,2417464,0.87,3004279,1156006,1223437,2379443,805,1016
2017,California,13624228,50.88,13152904,49.12,26777132,0.89,39536653,15547670,15963464,31511134,677,850
2017,Colorado,2120831,51.03,2035307,48.97,4156138,0.8,5607154,2249814,2237901,4487715,741,926
2017,Connecticut,1279529,49.46,1307465,50.54,2586994,0.92,3588184,1420417,1519237,2939654,721,880
2017,Delaware,375362,48.72,395150,51.28,770512,0.8,961939,373968,407154,781122,801,986
2017,Dist. of Col.,256312,49.19,264744,50.81,521056,1.68,693972,271876,308290,580166,751,898
2017,Florida,7407238,49.13,7669120,50.87,15076358,0.9,20984400,8362989,8913715,17276704,718,873
2017,Georgia,3370070,47.73,3690274,52.27,7060344,0.85,10429379,3945745,4264304,8210049,677,860
2017,Hawaii,491063,51.64,459945,48.36,951008,0.77,1427538,575132,578014,1153146,666,825
2017,Idaho,599355,50.35,591012,49.65,1190367,0.65,1716943,659669,664149,1323818,693,899
2017,Illinois,4210963,49.37,4318441,50.63,8529404,0.79,12802023,4987547,5259013,10246560,666,832
2017,Indiana,2235286,49.09,2318298,50.91,4553584,0.74,6666818,2576485,2702038,5278523,683,863
2017,Iowa,1112382,49.51,1134447,50.49,2246829,0.61,3145711,1232774,1264238,2497012,714,900
2017,Kansas,1004803,49.5,1025066,50.5,2029869,0.75,2913123,1129047,1151882,2280929,697,890
2017,Kentucky,1485614,49.21,1533394,50.79,3019008,0.72,4454189,1736651,1823379,3560030,678,848
2017,Louisiana,1645894,48.05,1779762,51.95,3425656,0.9,4684333,1788161,1912137,3700298,731,926
2017,Maine,510483,49.43,522220,50.57,1032703,0.96,1335907,540924,573838,1114762,773,926
2017,Maryland,2141533,49.46,2187970,50.54,4329503,1.01,6052177,2326833,2533692,4860525,715,891
2017,Massachusetts,2417853,48.99,2517323,51.01,4935176,0.98,6859819,2717230,2940851,5658081,719,872
2017,Michigan,3477051,49,3618727,51,7095778,0.84,9962311,3926876,4124916,8051792,712,881
2017,Minnesota,1704865,50.22,1689950,49.78,3394815,0.6,5576606,540924,573838,1114762,609,3045
2017,Mississippi,974215,47.43,1079709,52.57,2053924,1.01,2984100,1124757,1229445,2354202,688,872
2017,Missouri,2078652,48.63,2196132,51.37,4274784,0.78,6113532,2376314,2513996,4890310,699,874
2017,Montana,409982,50.79,397277,49.21,807259,0.43,1050493,424652,422300,846952,768,953
2017,Nebraska,704348,50.15,700131,49.85,1404479,0.73,1920076,740926,755085,1496011,731,939
2017,Nevada,979647,51.07,938658,48.93,1918305,0.79,2998039,1192868,1196720,2389588,640,803
2017,New Hampshire,553759,50.18,549865,49.82,1103624,0.84,1342795,549634,567072,1116706,822,988
2017,New Jersey,3099073,49.18,3202290,50.82,6301363,1.05,9005644,3507039,3755693,7262732,700,868
2017,New Mexico,730295,49.57,742967,50.43,1473262,0.86,2088070,814015,842271,1656286,706,889
2017,New York,5929700,48.66,6255613,51.34,12185313,1.13,19849399,7760631,8416708,16177339,614,753
2017,North Carolina,3571303,48.33,3818164,51.67,7389467,0.93,10273419,3965375,4275934,8241309,719,897
2017,North Dakota,290784,51.77,270883,48.23,561667,0.54,755393,306307,290594,596901,744,941
2017,Ohio,3885181,48.49,4126524,51.51,8011705,0.75,11658609,4540583,4823146,9363729,687,856
2017,Oklahoma,1160690,46.32,1345299,53.68,2505989,0.67,3930864,1511510,1566373,3077883,638,814
2017,Oregon,1432970,49.23,1477622,50.77,2910592,0.72,4142776,1657067,1712379,3369446,703,864
2017,Pennsylvania,4440688,49.53,4524167,50.47,8964855,0.85,12805537,5072347,5388360,10460707,700,857
2017,Rhode Island,368108,48.87,385094,51.13,753202,0.88,1059639,421855,455807,877662,711,858
2017,South Carolina,1830956,48.04,1980006,51.96,3810962,0.91,5024369,1940768,2106586,4047354,758,942
2017,South Dakota,317276,50.48,311230,49.52,628506,0.51,869666,340052,337105,677157,723,928
2017,Tennessee,2761901,51.36,2615752,48.64,5377653,0.95,6715984,2596568,2786799,5383367,801,999
2017,Texas,8465417,49.51,8633923,50.49,17099340,0.78,28304596,10724235,11037637,21761872,604,786
2017,Utah,1005220,50.38,990157,49.62,1995377,0.86,3101833,1136653,1138675,2275328,643,877
2017,Vermont,278720,49.75,281527,50.25,560247,0.92,623657,255412,265927,521339,898,1075
2017,Virginia,2855000,48.17,3071430,51.83,5926430,0.8,8470020,3321806,3492856,6814662,700,870
2017,Washington,2969928,51.49,2798353,48.51,5768281,0.82,7405743,2955814,2987142,5942956,779,971
2017,West Virginia,567980,49.44,580806,50.56,1148786,0.7,1815857,731355,758188,1489543,633,771
2017,Wisconsin,2111688,49.87,2123105,50.13,4234793,0.77,5795483,2303900,2360257,4664157,731,908
2017,Wyoming,215906,51.11,206559,48.89,422465,0.53,579315,232720,224682,457402,729,924
2016,Alabama,1913487,48.5,2029595,51,3943082,0.74,4863300,1862731,2033606,3896337,811,1012
2016,Alaska,252875,47.3,281710,53,534585,0.69,741894,302472,272432,574904,721,930
2016,Arizona,2552249,50.2,2530056,50,5082305,0.89,6931071,2706102,2779736,5485838,733,926
2016,Arkansas,1158338,48.4,1232765,52,2391103,0.86,2988248,1148262,1215626,2363888,800,1012
2016,California,13331944,50.9,12867492,49,26199436,0.88,39250017,15378392,15811628,31190020,668,840
2016,Colorado,2086189,51.3,1980391,49,4066580,0.8,5540545,2211819,2207221,4419040,734,920
2016,Connecticut,1291397,49.5,1319610,51,2611007,0.92,3576452,1409891,1509885,2919776,730,894
2016,Delaware,367808,48.6,388520,51,756328,0.76,952065,369049,402404,771453,794,980
2016,Dist. of Col.,241802,49.4,248029,51,489831,1.62,681170,267681,303051,570732,719,858
2016,Florida,7206475,49.1,7468685,51,14675160,0.9,20612439,8200700,8749239,16949939,712,866
2016,Georgia,3327867,47.7,3648033,52,6975900,0.86,10310371,3889622,4199268,8088890,677,862
2016,Hawaii,481461,51.7,450242,48,931703,0.77,1428557,575568,576619,1152187,652,809
2016,Idaho,583602,50.3,577320,50,1160922,0.63,1683140,645248,650014,1295262,690,896
2016,Illinois,4200790,49.34,4313854,51,8514644,0.84,12801539,4973453,5245319,10218772,665,833
2016,Indiana,2237101,49.1,2316158,51,4553259,0.74,6633053,2557592,2684104,5241696,686,869
2016,Iowa,1111840,49.5,1133800,50,2245640,0.62,3134693,1227404,1259188,2486592,716,903
2016,Kansas,1004834,49.5,1025191,51,2030025,0.77,2907289,2272404,2272404,4544808,698,447
2016,Kentucky,1492573,49.2,1538874,51,3031447,0.73,4436974,1728719,1813875,3542594,683,856
2016,Louisiana,1632808,48.1,1762287,52,3395095,0.89,4681666,1785544,1907555,3693099,725,919
2016,Maine,504674,49.4,516658,51,1021332,0.94,1331479,538121,570553,1108674,767,921
2016,Maryland,2103981,49.3,2160894,51,4264875,1.04,6016447,2306124,2516466,4822590,709,884
2016,Massachusetts,2473050,49.1,2567612,51,5040662,1.01,6811779,2688163,2914133,5602296,740,900
2016,Michigan,3464410,49,3610264,51,7074674,0.86,9928300,3900957,4104099,8005056,713,884
2016,Minnesota,1697475,50.3,1680435,50,3377910,0.64,5519952,2162790,2212345,4375135,612,772
2016,Mississippi,957284,47.4,1061578,53,2018862,0.98,2988726,1123917,1227419,2351336,675,859
2016,Missouri,2066910,48.6,2182669,51,4249579,0.75,6093000,2364551,2501669,4866220,697,873
2016,Montana,405029,50.8,392116,49,797145,0.45,1042520,421152,418958,840110,765,949
2016,Nebraska,704348,50.2,700131,50,1404479,0.74,1907116,734392,750361,1484753,736,946
2016,Nevada,956291,51.1,916085,49,1872376,0.79,2940058,1166322,1171830,2338152,637,801
2016,New Hampshire,549729,50.2,546505,50,1096234,0.84,1334795,544866,562536,1107402,821,990
2016,New Jersey,3066313,49.2,3172123,51,6238436,1.06,8944469,3476185,3720808,7196993,697,867
2016,New Mexico,758190,49.8,763595,50,1521785,0.85,2081015,809169,837421,1646590,731,924
2016,New York,5814353,48.7,6133215,51,11947568,1.08,19745289,7699982,8351526,16051508,605,744
2016,North Carolina,3515543,48.4,3751499,52,7267042,0.89,10146788,3896650,4217131,8113781,716,896
2016,North Dakota,288618,51.9,267317,48,555935,0.64,757952,307492,291456,598948,733,928
2016,Ohio,3866323,48.5,4108628,52,7974951,0.75,11614373,4515078,4797181,9312259,687,856
2016,Oklahoma,1154923,46.2,1343255,54,2498178,0.67,3923561,1506744,1561122,3067866,637,814
2016,Oregon,1406168,49.2,1449578,51,2855746,0.77,4093465,1633718,1690773,3324491,698,859
2016,Pennsylvania,4461263,49.6,4535552,50,8996815,0.85,12784227,5057124,5372990,10430114,704,863
2016,Rhode Island,368146,48.9,384997,51,753143,0.88,1056426,419557,454243,873800,713,862
2016,South Carolina,1799712,48,1946969,52,3746681,0.91,4961119,1913729,2075344,3989073,755,939
2016,South Dakota,314356,50.5,308307,50,622663,0.51,865454,338429,336246,674675,719,923
2016,Tennessee,2683909,51.6,2513995,48,5197904,0.94,6651194,2565245,2757358,5322603,781,977
2016,Texas,7824635,49.3,8055241,51,15879876,0.74,27862596,9116438,9521795,18638233,570,852
2016,Utah,988484,50.4,971882,50,1960366,0.86,3051217,1113127,1114630,2227757,642,880
2016,Vermont,275292,49.7,278378,50,553670,0.92,624594,255087,266036,521123,886,1062
2016,Virginia,2846993,48.2,3065055,52,5912048,0.83,8411808,3290937,3463319,6754256,703,875
2016,Washington,2908119,51.6,2727596,48,5635715,0.82,7288000,2901736,2937958,5839694,773,965
2016,West Virginia,574199,49.5,585149,50,1159348,0.7,1831102,736272,763695,1499967,633,773
2016,Wisconsin,2098274,49.9,2108496,50,4206770,0.77,5778708,2292297,2350197,4642494,728,906
2016,Wyoming,214785,51,206313,49,421098,0.5,585501,235117,226243,461360,719,913
2015,Alabama,1896942,48.55,2010096,51,3907038,0.73,4858979,1856630,2027412,3884042,804,1006
2015,Alaska,251993,47.26,281234,53,533227,0.67,738432,303164,268654,571818,722,933
2015,Arizona,2502985,50.27,2475777,50,4978762,0.9,6828065,2656888,2730667,5387555,729,924
2015,Arkansas,1041548,49.14,1078030,51,2119578,0.78,2978204,1142655,1209829,2352484,712,901
2015,California,12968614,50.79,12564306,49,25532920,0.89,39144818,15312391,15743511,31055902,652,822
2015,Colorado,2037265,51.26,1937256,49,3974521,0.8,5456574,2169532,2166806,4336338,728,917
2015,Connecticut,1267221,49.37,1299452,51,2566673,0.91,3590886,1410989,1512679,2923668,715,878
2015,Delaware,360931,48.61,381593,51,742524,0.78,945934,365838,398937,764775,785,971
2015,Dist. of Col.,223265,49,232337,51,455602,1.58,672228,264264,300174,564438,678,807
2015,Florida,6988162,49,7274553,51,14262715,0.9,20271272,8051362,8594046,16645408,704,857
2015,Georgia,3292710,47.68,3613481,52,6906191,0.87,10214860,3848476,4143883,7992359,676,864
2015,Hawaii,470553,51.72,439244,48,909797,0.75,1431603,582093,570536,1152629,636,789
2015,Idaho,570440,50.26,564569,50,1135009,0.62,1654930,632148,637722,1269870,686,894
2015,Illinois,4171408,49.29,4290785,51,8462193,0.81,12859995,4981045,5263154,10244199,658,826
2015,Indiana,2191875,49.06,2275973,51,4467848,0.74,6619680,2546934,2675588,5222522,675,855
2015,Iowa,1100569,49.48,1123561,51,2224130,0.62,3123899,1221223,1255757,2476980,712,898
2015,Kansas,1004041,49.49,1024616,51,2028657,0.78,2911641,1125540,1145916,2271456,697,893
2015,Kentucky,1489840,49.31,1531426,51,3021266,0.74,4425092,1719407,1808687,3528094,683,856
2015,Louisiana,1616983,48.17,1740108,52,3357091,0.88,4670724,1778150,1900915,3679065,719,912
2015,Maine,504049,49.42,515830,51,1019879,0.94,1329328,536021,569057,1105078,767,923
2015,Maryland,2063601,49.3,2122151,51,4185752,1.03,6006401,2301582,2509404,4810986,697,870
2015,Massachusetts,2473050,49.06,2567612,51,5040662,1.01,6794422,2673282,2901700,5574982,742,904
2015,Michigan,3476382,48.93,3628102,51,7104484,0.86,9922576,3886538,4097088,7983626,716,890
2015,Minnesota,1683375,50.23,1668055,50,3351430,0.64,5489594,2146150,2201418,4347568,611,771
2015,Mississippi,943750,47.46,1044646,53,1988396,0.97,2992333,1122482,1225123,2347605,664,847
2015,Missouri,2048659,48.62,2164643,51,4213302,0.76,6083672,2354612,2496673,4851285,693,868
2015,Montana,397220,50.83,384207,49,781427,0.48,1032949,416688,415155,831843,757,939
2015,Nebraska,699394,50.16,694907,50,1394301,0.72,1896190,730256,745902,1476158,735,945
2015,Nevada,938460,51.13,897051,49,1835511,0.8,2890845,1146779,1149043,2295822,635,800
2015,New Hampshire,539007,50.15,535759,50,1074766,0.84,1330608,540284,559986,1100270,808,977
2015,New Jersey,3033720,49.09,3145598,51,6179318,1.06,8958013,3473439,3721914,7195353,690,859
2015,New Mexico,730816,49.79,736966,50,1467782,0.82,2085109,808633,834819,1643452,704,893
2015,New York,5689829,48.67,6000010,51,11689839,1.11,19795791,7706731,8363726,16070457,591,727
2015,North Carolina,3469901,48.46,3690720,52,7160621,0.92,10042802,3855271,4155199,8010470,713,894
2015,North Dakota,283682,52.05,261345,48,545027,0.63,756927,308828,291814,600642,720,907
2015,Ohio,3839738,48.46,4083701,52,7923439,0.76,11613423,4501948,4793103,9295051,682,852
2015,Oklahoma,1276575,48.69,1345158,51,2621733,0.88,3911338,1499350,1555823,3055173,670,858
2015,Oregon,1384681,49.3,1423867,51,2808548,0.8,4028977,1602541,1662443,3264984,697,860
2015,Pennsylvania,4436952,49.61,4506015,50,8942967,0.85,12802503,5051811,5379733,10431544,699,857
2015,Rhode Island,364553,48.9,380917,51,745470,0.87,1056298,417237,453874,871111,706,856
2015,South Carolina,1770019,48.05,1913805,52,3683824,0.92,4896146,1886353,2041073,3927426,752,938
2015,South Dakota,332694,50.74,323013,49,655707,0.62,858469,334738,334448,669186,764,980
2015,Tennessee,2212868,47.88,2408533,52,4621401,0.85,6600299,2541672,2731652,5273324,700,876
2015,Texas,7824635,49.27,8055241,51,15879876,0.74,27469114,10359829,10679182,21039011,578,755
2015,Utah,969059,50.64,944505,49,1913564,0.87,2995919,1087382,1091484,2178866,639,878
2015,Vermont,272862,49.72,275937,50,548799,0.85,626042,254483,266860,521343,877,1053
2015,Virginia,2805622,48.2,3014587,52,5820209,0.82,8382993,3276384,3445115,6721499,694,866
2015,Washington,2849266,51.65,2666868,48,5516134,0.84,7170351,2852519,2885223,5737742,769,961
2015,West Virginia,579212,49.62,588134,50,1167346,0.74,1844128,739350,769050,1508400,633,774
2015,Wisconsin,2092911,49.89,2101848,50,4194759,0.78,5771337,2282044,2344645,4626689,727,907
2015,Wyoming,215799,51.08,206651,49,422450,0.52,586107,235241,226502,461743,721,915
2014,Alabama,1887023,48.62,1994519,51.38,3881542,0.73,4849377,1850520,2018569,3869089,800,1003
2014,Alaska,250745,47.16,280999,52.84,531744,0.68,736732,301326,268918,570244,722,932
2014,Arizona,2453665,50.26,2428136,49.74,4881801,0.88,6731484,2609768,2681353,5291121,725,923
2014,Arkansas,1038874,49.19,1072999,50.81,2111873,0.77,2966369,1136553,1202216,2338769,712,903
2014,California,12562214,50.63,12251132,49.37,24813346,0.89,38802500,15129276,15565575,30694851,639,808
2014,Colorado,1986768,51.16,1896594,48.84,3883362,0.82,5355866,2121402,2122655,4244057,725,915
2014,Connecticut,1254209,49.33,1288379,50.67,2542588,0.9,3596677,1408386,1510604,2918990,707,871
2014,Delaware,356242,48.64,376107,51.36,732349,0.77,935614,360500,393480,753980,783,971
2014,Dist. of Col.,205433,48.92,214463,51.08,419896,1.34,658893,259696,294404,554100,637,758
2014,Florida,6801601,48.94,7096746,51.06,13898347,0.91,19893297,7893617,8416529,16310146,699,852
2014,Georgia,3154117,47.43,3496317,52.57,6650434,0.83,10097343,3797487,4082599,7880086,659,844
2014,Hawaii,467908,51.84,434731,48.16,902639,0.66,1419561,576172,566710,1142882,636,790
2014,Idaho,566663,50.21,561834,49.79,1128497,0.64,1634464,622041,628189,1250230,690,903
2014,Illinois,4117722,49.18,4255843,50.82,8373565,0.81,12880580,4974169,5264047,10238216,650,818
2014,Indiana,2183871,49.1,2264228,50.9,4448099,0.74,6596855,2532561,2663154,5195715,674,856
2014,Iowa,1103271,49.52,1124679,50.48,2227950,0.63,3107126,1213806,1249101,2462907,717,905
2014,Kansas,999818,49.46,1021453,50.54,2021271,0.81,2904021,1117418,1142870,2260288,696,894
2014,Kentucky,1481935,49.32,1522984,50.68,3004919,0.73,4413457,1712742,1801478,3514220,681,855
2014,Louisiana,1595750,48.17,1716880,51.83,3312630,0.87,4649676,1768061,1889623,3657684,712,906
2014,Maine,503693,49.43,515225,50.57,1018918,0.86,1330089,535061,568365,1103426,766,923
2014,Maryland,2038539,49.2,2104458,50.8,4142997,1.05,5976407,2285455,2493283,4778738,693,867
2014,Massachusetts,2357610,49.47,2407976,50.53,4765586,0.97,6745408,2645934,2876731,5522665,706,863
2014,Michigan,3448100,48.93,3598333,51.07,7046433,0.88,9909877,3868887,4087387,7956274,711,886
2014,Minnesota,1686830,50.24,1670638,49.76,3357468,0.65,5457173,2129995,2187956,4317951,615,778
2014,Mississippi,938995,47.48,1038684,52.52,1977679,0.96,2994079,1122269,1221747,2344016,661,844
2014,Missouri,2103429,48.97,2191795,51.03,4295224,0.81,6063589,2342500,2486668,4829168,708,889
2014,Montana,390536,50.8,378167,49.2,768703,0.49,1023579,412202,411666,823868,751,933
2014,Nebraska,693692,50.13,690001,49.87,1383693,0.73,1881503,723430,740948,1464378,735,945
2014,Nevada,918198,51.11,878245,48.89,1796443,0.81,2839099,1125691,1124292,2249983,633,798
2014,New Hampshire,537483,50.14,534480,49.86,1071963,0.83,1326813,536860,557313,1094173,808,980
2014,New Jersey,3020014,49.08,3132620,50.92,6152634,0.91,8938175,3456345,3707467,7163812,688,859
2014,New Mexico,720178,49.84,724679,50.16,1444857,0.76,2085572,805542,833067,1638609,693,882
2014,New York,5806337,51.3,5511861,48.7,11318198,1.04,19746227,7669925,8337367,16007292,573,707
2014,North Carolina,3404244,48.46,3621089,51.54,7025333,0.91,9943964,3807288,4102985,7910273,706,888
2014,North Dakota,273542,51.85,253999,48.15,527541,0.62,739482,301655,286871,588526,713,896
2014,Ohio,3835277,48.45,4080630,51.55,7915907,0.77,11594163,4484168,4781062,9265230,683,854
2014,Oklahoma,1135024,46.29,1316948,53.71,2451972,0.7,3878051,1485698,1542294,3027992,632,810
2014,Oregon,1376809,49.43,1408637,50.57,2785446,0.83,3970239,1575847,1634834,3210681,702,868
2014,Pennsylvania,4425045,49.63,4490596,50.37,8915641,0.86,12787209,5036386,5370237,10406623,697,857
2014,Rhode Island,365814,48.88,382523,51.12,748337,0.88,1055173,415839,452736,868575,709,862
2014,South Carolina,1737987,48.04,1879548,51.96,3617535,0.92,4832482,1859248,2008864,3868112,749,935
2014,South Dakota,307326,50.39,302582,49.61,609908,0.61,853175,332585,332731,665316,715,917
2014,Tennessee,2216142,48.04,2397024,51.96,4613166,0.86,6549352,2516442,2707249,5223691,704,883
2014,Texas,7714337,49.3,7934396,50.7,15648733,0.77,26956958,10146764,10463418,20610182,581,759
2014,Utah,716585,50.26,709118,49.74,1425703,0.67,2942902,1063538,1068310,2131848,484,669
2014,Vermont,271795,49.84,273517,50.16,545312,0.9,626562,254132,266280,520412,870,1048
2014,Virginia,2809780,48.7,2959283,51.3,5769063,0.82,8326289,3247094,3418338,6665432,693,866
2014,Washington,2790748,51.67,2610391,48.33,5401139,0.85,7061530,2802234,2836195,5638429,765,958
2014,West Virginia,582047,49.67,589860,50.33,1171907,0.78,1850326,741935,771897,1513832,633,774
2014,Wisconsin,2096238,50.05,2091956,49.95,4188194,0.8,5757564,2271230,2336067,4607297,727,909
2014,Wyoming,217481,51.29,206506,48.71,423987,0.52,584153,235007,225992,460999,726,920
2013,Alabama,1877988,48.66,1981415,51.34,3859403,0.81,4833722,1842793,2005783,3848576,798,1003
2013,Alaska,279562,52.86,249311,47.14,528873,0.69,735132,299087,268285,567372,719,932
2013,Arizona,2408632,50.27,2382818,49.73,4791450,0.9,6626624,2562168,2627215,5189383,723,923
2013,Arkansas,1032179,49.22,1065022,50.78,2097201,0.89,2959373,1130996,1197422,2328418,709,901
2013,California,12353744,50.65,12036492,49.35,24390236,0.89,38332521,14917168,15301483,30218651,636,807
2013,Colorado,1966325,51.24,1871163,48.76,3837488,0.83,5268367,2080390,2082442,4162832,728,922
2013,Connecticut,1250661,49.35,1283429,50.65,2534090,0.9,3596080,1402924,1505770,2908694,705,871
2013,Delaware,352305,48.68,371352,51.32,723657,0.77,925749,355649,388505,744154,782,972
2013,Dist. of Col.,198292,48.89,207263,51.11,405555,1.3,646449,255112,290256,545368,627,744
2013,Florida,6690226,48.94,6980215,51.06,13670441,0.92,19552860,7745904,8250380,15996284,699,855
2013,Georgia,3150900,47.69,3456116,52.31,6607016,0.86,9992167,3750855,4024995,7775850,661,850
2013,Hawaii,477830,52.22,437203,47.78,915033,0.7,1404054,568088,560796,1128884,652,811
2013,Idaho,557799,50.19,553686,49.81,1111485,0.66,1612136,611789,619176,1230965,689,903
2013,Illinois,4056283,49.1,4205299,50.9,8261582,0.82,12882135,4962880,5246078,10208958,641,809
2013,Indiana,2214668,49.21,2285735,50.79,4500403,0.81,6570902,2517417,2647571,5164988,685,871
2013,Iowa,1057729,49.34,1085936,50.66,2143665,0.61,3090416,1204865,1242875,2447740,694,876
2013,Kansas,998399,49.48,1019360,50.52,2017759,0.78,2893957,1111367,1137151,2248518,697,897
2013,Kentucky,1491227,49.39,1528056,50.61,3019283,0.76,4395295,1701926,1791971,3493897,687,864
2013,Louisiana,1580313,48.21,1697830,51.79,3278143,0.85,4625470,1757785,1875789,3633574,709,902
2013,Maine,500034,49.44,511351,50.56,1011385,0.85,1328302,532921,566603,1099524,761,920
2013,Maryland,2040317,49.28,2099788,50.72,4140105,1.1,5928814,2266985,2470583,4737568,698,874
2013,Massachusetts,2357610,49.47,2407976,50.53,4765586,0.97,6692824,2618528,2848401,5466929,712,872
2013,Michigan,3413148,48.85,3573439,51.15,6986587,0.86,9895622,3849851,4072780,7922631,706,882
2013,Minnesota,1672434,50.21,1658291,49.79,3330725,0.64,5420380,2112284,2171321,4283605,614,778
2013,Mississippi,936228,47.55,1032679,52.45,1968907,0.96,2991207,1118991,1215937,2334928,658,843
2013,Missouri,2097189,48.99,2183249,51.01,4280438,0.74,6044171,2329576,2474532,4804108,708,891
2013,Montana,389731,50.83,376985,49.17,766716,0.5,1015165,408258,408234,816492,755,939
2013,Nebraska,689123,50.14,685406,49.86,1374529,0.75,1868516,717481,735999,1453480,736,946
2013,Nevada,897158,51.09,858937,48.91,1756095,0.81,2790136,1105139,1097762,2202901,629,797
2013,New Hampshire,532504,50.17,528929,49.83,1061433,0.76,1323459,533178,553947,1087125,802,976
2013,New Jersey,2984736,49.08,3096650,50.92,6081386,0.87,8899339,3432308,3683164,7115472,683,855
2013,New Mexico,725752,49.83,730748,50.17,1456500,0.79,2085287,803217,829766,1632983,698,892
2013,New York,5772229,51.49,5438554,48.51,11210783,1.07,19651127,7622014,8285525,15907539,570,705
2013,North Carolina,3303029,48.41,3519873,51.59,6822902,0.88,9848060,3761364,4051469,7812833,693,873
2013,North Dakota,264776,51.53,249062,48.47,513838,0.62,723393,295504,282463,577967,710,889
2013,Ohio,3892753,48.48,4137668,51.52,8030421,0.79,11570808,4463373,4767193,9230566,694,870
2013,Oklahoma,1110632,45.93,1307675,54.07,2418307,0.71,3850568,1474205,1530065,3004270,628,805
2013,Oregon,1375317,49.59,1398056,50.41,2773373,0.78,3930065,1556173,1614709,3170882,706,875
2013,Pennsylvania,4417549,49.65,4479041,50.35,8896590,0.86,12773801,5018973,5362787,10381760,696,857
